# 1 amount of Vehicles
param nv :=
20 ;

# 2 amount of Orders
param no :=
35 ;

# 3 amount of locations
param nl :=
22 ;

# 4 amount of factories
param nf :=
8 ;

# 5 factory sets
set N_f_2[1] :=  13 22 ;
set N_f_2[2] :=  14 ;
set N_f_2[3] :=  15 ;
set N_f_2[4] :=  16 ;
set N_f_2[5] :=  17 ;
set N_f_2[6] :=  18 21 ;
set N_f_2[7] :=  19 ;
set N_f_2[8] :=  20 ;

# 6 factory stop capacities
param H :=
1 1
2 1
3 1
4 1
5 1
6 2
7 1
8 1 ;

# 7 pickup locations for each order
param L_pd :=
1 9
2 12
3 2
4 10
5 4
6 7
7 1
8 11
9 8
10 5
11 3
12 6
13 11
14 2
15 11
16 11
17 6
18 7
19 10
20 6
21 12
22 11
23 8
24 9
25 5
26 9
27 12
28 9
29 12
30 7
31 10
32 4
33 6
34 12
35 8 ;

# 8 delivery locations for each order
param L_dd :=
1 18
2 15
3 13
4 21
5 19
6 14
7 16
8 20
9 17
10 22
11 15
12 13
13 22
14 18
15 14
16 16
17 22
18 21
19 13
20 16
21 16
22 22
23 13
24 16
25 20
26 19
27 20
28 13
29 15
30 21
31 18
32 14
33 21
34 15
35 21 ;

# 9 location sets
set L_2[1] :=  7 ;
set L_2[2] :=  3 14 ;
set L_2[3] :=  11 ;
set L_2[4] :=  5 32 ;
set L_2[5] :=  10 25 ;
set L_2[6] :=  12 17 20 33 ;
set L_2[7] :=  6 18 30 ;
set L_2[8] :=  9 23 35 ;
set L_2[9] :=  1 24 26 28 ;
set L_2[10] :=  4 19 31 ;
set L_2[11] :=  8 13 15 16 22 ;
set L_2[12] :=  2 21 27 29 34 ;
set L_2[13] :=  3 12 19 23 28 ;
set L_2[14] :=  6 15 32 ;
set L_2[15] :=  2 11 29 34 ;
set L_2[16] :=  7 16 20 21 24 ;
set L_2[17] :=  9 ;
set L_2[18] :=  1 14 31 ;
set L_2[19] :=  5 26 ;
set L_2[20] :=  8 25 27 ;
set L_2[21] :=  4 18 30 33 35 ;
set L_2[22] :=  10 13 17 22 ;

# 10 order weights
param Q_kg_2 :=
1 1019.2778752387268
2 1884.0000055373598
3 1444.7891678958536
4 696.7370728121382
5 688.4904694149528
6 13688.254154487007
7 365.80181102306454
8 22922.31089148124
9 786.6524696195337
10 1147.1714289948636
11 356.09732292124636
12 5872.741610254795
13 333.6028364033965
14 1626.2215054894095
15 1874.6192307569138
16 78.88678110692021
17 256.2842853644952
18 1208.1370455602669
19 1686.421823752341
20 10476.090740587197
21 1204.688660353651
22 1532.9526084399272
23 931.6533440265395
24 1572.587652765694
25 1583.7380102313998
26 5360.438515192404
27 1283.234349632558
28 363.94619526346725
29 256.72584872757136
30 1308.225611816969
31 970.7151759579837
32 1682.4251270674931
33 1608.6696844748972
34 857.7678880100844
35 17463.54017651406 ;

# 11 order volumes
param Q_vol_2 :=
1 10.054812174371094
2 24.14767435653147
3 7.061107248788572
4 3.3533527388794835
5 14.306900727716236
6 63.219748513583916
7 1.7957667486872144
8 82.97930752005936
9 8.2357855997279
10 6.883715028005195
11 1.0842753982664735
12 26.332675830801385
13 9.237723956566278
14 28.509547766553013
15 5.122915227994544
16 0.8015177016464731
17 1.4134082122742129
18 22.212909647071726
19 42.153980072344936
20 54.569210237181835
21 8.722731363595315
22 6.2072792324366795
23 2.1566601267048155
24 21.24351996885692
25 32.4868914455633
26 46.239449088537135
27 3.1146422336928863
28 0.9066202754130073
29 0.9321141162475056
30 3.2275983594560445
31 13.910596082735506
32 8.72637154559536
33 4.639164403870265
34 2.0583878081276805
35 40.58938114011807 ;

# 12 Locations vehicle can visit
set N_v_2[1] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[2] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[3] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[4] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[5] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[6] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[7] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[8] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[9] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set N_v_2[10] := 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
