#location_org,location_dest,commodity_name,demand,Org_Country,Des_country,weight,vol,Weight per package,Volume per package,Split amount,Dock,Search Result,Start pos,End Pos,Length,Text,Count _,Pos last _,Sustitute last _
Supplier_10,Plant_2,Article_2813,3500,ES,ES,39.41,0.09261,39.41,0.09261,1,2,FTL||Supplier_10||Plant_2||FTL_ES-ES_250,32,34,40,ES_250,4,37,FTL||Supplier_10||Plant_2||FTL_ES-ES!250
Supplier_10,Plant_2,Article_5058,4608,ES,ES,1095.9359998464,1.27008,1095.9359998464,1.27008,1,5,FTL||Supplier_10||Plant_2||FTL_ES-ES_250,32,34,40,ES_250,4,37,FTL||Supplier_10||Plant_2||FTL_ES-ES!250
Supplier_25,Plant_2,Article_6753,2880,ES,ES,20880,163.391999904,5220,40.847999976,4,1,FTL||Supplier_25||Plant_2||FTL_ES-ES_100,32,34,40,ES_100,4,37,FTL||Supplier_25||Plant_2||FTL_ES-ES!100
Supplier_10,Plant_2,Article_3503,1500,ES,ES,97.68,0.07938,97.68,0.07938,1,4,FTL||Supplier_10||Plant_2||FTL_ES-ES_250,32,34,40,ES_250,4,37,FTL||Supplier_10||Plant_2||FTL_ES-ES!250
Supplier_34,Plant_2,Article_6825,4022,ES,ES,4471.1233334674,145.9986,1490.37444448913,48.6662,3,4,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
Supplier_34,Plant_2,Article_6838,720,ES,ES,881.28,31.3632,881.28,31.3632,1,4,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
Supplier_34,Plant_2,Article_6833,720,ES,ES,698.160000024,24.33024,698.160000024,24.33024,1,4,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
Supplier_34,Plant_2,Article_6846,1728,ES,ES,1679.0400000576,58.392576,839.5200000288,29.196288,2,3,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
Supplier_34,Plant_2,Article_6843,1728,ES,ES,1679.0400000576,58.392576,839.5200000288,29.196288,2,4,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
Supplier_34,Plant_2,Article_6726,360,ES,ES,393.000000012,12.16512,393.000000012,12.16512,1,4,FTL||Supplier_34||Plant_2||FTL_ES-ES_500,32,34,40,ES_500,4,37,FTL||Supplier_34||Plant_2||FTL_ES-ES!500
