#location_org,location_dest,commodity_name,demand,Org_Country,Des_country,weight,vol,Weight per package,Volume per package,Split amount,Dock,Search Result,Start pos,End Pos,Length,Text,Count _,Pos last _,Sustitute last _
Supplier_326,Plant_5,Article_10073,1000,PL,GB,776.55,4.98,776.55,4.98,1,2,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_10079,2200,PL,GB,1708.41,10.956,1708.41,10.956,1,5,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_10032,1920,PL,GB,1806.12,11.952,1806.12,11.952,1,3,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_6398,2112,PL,GB,1796.52,11.9519999808,1796.52,11.9519999808,1,5,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_6393,5632,PL,GB,4790.72,31.8719999488,4790.72,31.8719999488,1,4,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_6576,4560,PL,GB,4807.38,37.848,4807.38,37.848,1,2,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_3263,4664,PL,GB,5882.47,52.7879999152,2941.235,26.3939999576,2,3,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_3275,2356,PL,GB,2084.489999962,18.9240000836,2084.489999962,18.9240000836,1,3,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_3286,124,PL,GB,118.389999998,0.9960000044,118.389999998,0.9960000044,1,3,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_3294,5828,PL,GB,5739.169999906,46.8120002068,5739.169999906,46.8120002068,1,2,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_3306,88,PL,GB,112.75,0.9959999984,112.75,0.9959999984,1,1,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
Supplier_326,Plant_5,Article_4170,200,PL,GB,155.31,0.996,155.31,0.996,1,4,FTL||Supplier_326||Plant_5||FTL_PL-GB_2000,33,35,42,GB_2000,4,38,FTL||Supplier_326||Plant_5||FTL_PL-GB!2000
